Evidence ID,Title,Category,Description,Purpose,Software item,SVerP activity ID,SVerP reference,Verification method,Verification level,Verified product,Required baseline,Actual baseline,Planned producer,Reviewer,Independence,Planned availability,Status,Approval status,Checksum,SVR destination,DJF destination,Source path,Priority
EVD-CODE-011,Source Code Verification Evidence — qnt.py,Source Code Verification Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/qnt.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Analysis,Software Component,ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/qnt.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,0569c0d838a121c0c5ec24f61e41017f1a447f6f379c8a412d61ba23cf875799,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/qnt.py,P1
EVD-CODE-012,Source Code Verification Evidence — seu.py,Source Code Verification Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/seu.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Analysis,Software Component,ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/seu.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,eb6811817920f707dfc24eb534e0539007c9f204c765461aa364225ef5a6e091,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/seu.py,P1
EVD-CODE-013,Source Code Verification Evidence — tad.py,Source Code Verification Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/tad.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Analysis,Software Component,ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/tad.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,54344c3498077e1c0a2886742f1db3d7a25a6a457e9d94df5a7633c17966e87c,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/app/portfolio/datadefs/tad.py,P1
EVD-CODE-014,Source Code Verification Evidence — models.py,Source Code Verification Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/app/portfolio/models.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Analysis,Software Component,ecss-ml-assurance-workbench/backend/app/portfolio/models.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,c6f08c580782c174de2734e03a3fee51186e479b4db746ca4fb119fdd0d193e4,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/app/portfolio/models.py,P1
EVD-CODE-015,Source Code Verification Evidence — package.py,Source Code Verification Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/app/portfolio/package.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Analysis,Software Component,ecss-ml-assurance-workbench/backend/app/portfolio/package.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,05a251c026111fbd59b182b5e0d1b8332ea44166d6969c3cfa7204fe6352063d,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/app/portfolio/package.py,P1
EVD-CODE-016,Source Code Verification Evidence — seed.py,Source Code Verification Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/app/portfolio/seed.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Analysis,Software Component,ecss-ml-assurance-workbench/backend/app/portfolio/seed.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,d731312c7a42ff9f62ef910a5b046b9269fa33cec357d779d25798de1c5f4bab,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/app/portfolio/seed.py,P1
EVD-CODE-017,Source Code Verification Evidence — service.py,Source Code Verification Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/app/portfolio/service.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Analysis,Software Component,ecss-ml-assurance-workbench/backend/app/portfolio/service.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,e690894690321549e1c7b0a0e8b47dbe66056b6bd9c2166af79726ec187b5ecd,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/app/portfolio/service.py,P1
EVD-UT-001,Unit Test Evidence — conftest.py,Unit Test Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/tests/conftest.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Test,Software Component,ecss-ml-assurance-workbench/backend/tests/conftest.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,ebd8b9371b92414f28cf1dd50b43cd822779aad16064fcf1ed7d2a85cd906e13,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/tests/conftest.py,P1
EVD-UT-002,Unit Test Evidence — test_continuous_week7.py,Unit Test Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/tests/continuous/test_continuous_week7.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Test,Software Component,ecss-ml-assurance-workbench/backend/tests/continuous/test_continuous_week7.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,98e9c2e806e67bbdb4cab9d5ef013543de80c36fadf9771bf4591a74122968d6,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/tests/continuous/test_continuous_week7.py,P1
EVD-UT-003,Unit Test Evidence — test_demo_week6.py,Unit Test Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/tests/demo/test_demo_week6.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Test,Software Component,ecss-ml-assurance-workbench/backend/tests/demo/test_demo_week6.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,5310b8fd52ee23b94084aa8d2e20d0a3204aa39e79b7c4601ca06299f15a38d1,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/tests/demo/test_demo_week6.py,P1
EVD-UT-004,Unit Test Evidence — factories.py,Unit Test Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/tests/factories.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Test,Software Component,ecss-ml-assurance-workbench/backend/tests/factories.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,48be770df456b1abaff9110abca292e5806f2ac96ece7557f740c271002b0def,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/tests/factories.py,P1
EVD-UT-005,Unit Test Evidence — helpers.py,Unit Test Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/tests/helpers.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Test,Software Component,ecss-ml-assurance-workbench/backend/tests/helpers.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,a77c33e87b9f1e4369ed7858b828de35afc9f497fb04d5eb0830315684ff70cf,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/tests/helpers.py,P1
EVD-UT-006,Unit Test Evidence — test_analyzers.py,Unit Test Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/tests/test_analyzers.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Test,Software Component,ecss-ml-assurance-workbench/backend/tests/test_analyzers.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,a9f8a5a9c6050201c1e0d55b2f0b9d2c7ec466a30f9e4d8e07a4d4f55ffd37b8,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/tests/test_analyzers.py,P1
EVD-UT-007,Unit Test Evidence — test_assurance_engine_week5.py,Unit Test Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/tests/test_assurance_engine_week5.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Test,Software Component,ecss-ml-assurance-workbench/backend/tests/test_assurance_engine_week5.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,e353092a45feec304abfce4dcd96eba4a529d7e16362621dea9d5454cdbda022,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/tests/test_assurance_engine_week5.py,P1
EVD-UT-008,Unit Test Evidence — test_assurance_registry.py,Unit Test Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/tests/test_assurance_registry.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Test,Software Component,ecss-ml-assurance-workbench/backend/tests/test_assurance_registry.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,c154d8317fca932fc292ae0f41b0d5d1c5e296facaf7ef4c299a30d24c833a8b,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/tests/test_assurance_registry.py,P1
EVD-UT-009,Unit Test Evidence — test_e2e_flow.py,Unit Test Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/tests/test_e2e_flow.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Test,Software Component,ecss-ml-assurance-workbench/backend/tests/test_e2e_flow.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,2dcd9894429a86f6e76bcfc71503ba5a6d69267804ffc40467ee89ef2a9cfdac,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/tests/test_e2e_flow.py,P1
EVD-UT-010,Unit Test Evidence — test_portfolio_week3.py,Unit Test Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/tests/test_portfolio_week3.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Test,Software Component,ecss-ml-assurance-workbench/backend/tests/test_portfolio_week3.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,6d7184eb794f27229e6c7da2159cd30e2a9d7a85623acfd516ef319eecdd63a9,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/tests/test_portfolio_week3.py,P1
EVD-UT-011,Unit Test Evidence — test_projects_datasets.py,Unit Test Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/tests/test_projects_datasets.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Test,Software Component,ecss-ml-assurance-workbench/backend/tests/test_projects_datasets.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,0c61d87476d07ee205ebacd4a96017e0ac011c07233a3165973615723025178e,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/tests/test_projects_datasets.py,P1
EVD-UT-012,Unit Test Evidence — test_score_reports.py,Unit Test Evidence,Repository artefact at ecss-ml-assurance-workbench/backend/tests/test_score_reports.py,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,backend,PENDING_SVERP,Not identified,Test,Software Component,ecss-ml-assurance-workbench/backend/tests/test_score_reports.py,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,8082b3226828cf7633bb71b192fe2276fedf9ff2e79f27204ca1d32b669dc5c4,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/backend/tests/test_score_reports.py,P1
EVD-ARCH-001,Architecture Verification Evidence — ARCHITECTURE_WEEK6.md,Architecture Verification Evidence,Repository artefact at ecss-ml-assurance-workbench/docs/ARCHITECTURE_WEEK6.md,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,docs,PENDING_SVERP,Not identified,Review,Document,ecss-ml-assurance-workbench/docs/ARCHITECTURE_WEEK6.md,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,14689ce1dc57c9b1a5cfce9492a9c200570d9b9bdbb16062c8bf5aa136fcb421,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/docs/ARCHITECTURE_WEEK6.md,P1
EVD-RVW-001,Review Evidence — ASSURANCE_RULES.md,Review Evidence,Repository artefact at ecss-ml-assurance-workbench/docs/ASSURANCE_RULES.md,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,docs,PENDING_SVERP,Not identified,Review,Document,ecss-ml-assurance-workbench/docs/ASSURANCE_RULES.md,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,8803c59df5e498cf23369b096f34ab5ea9223a6d259430480a6d6c3b1d397298,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/docs/ASSURANCE_RULES.md,P1
EVD-RVW-002,Review Evidence — DEPLOYMENT_GATE.md,Review Evidence,Repository artefact at ecss-ml-assurance-workbench/docs/DEPLOYMENT_GATE.md,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,docs,PENDING_SVERP,Not identified,Review,Document,ecss-ml-assurance-workbench/docs/DEPLOYMENT_GATE.md,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,43c10f69c03d487ff1413a2f07dc007baa307860a555dfaac9ee8a84d1d14231,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/docs/DEPLOYMENT_GATE.md,P1
EVD-RVW-003,Review Evidence — DEPLOYMENT_GUIDE.md,Review Evidence,Repository artefact at ecss-ml-assurance-workbench/docs/DEPLOYMENT_GUIDE.md,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,docs,PENDING_SVERP,Not identified,Review,Document,ecss-ml-assurance-workbench/docs/DEPLOYMENT_GUIDE.md,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,e3f1a09683d323b4c3707c46653e22ee812a07b95919214d38888b18e15f5e43,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/docs/DEPLOYMENT_GUIDE.md,P1
EVD-RVW-004,Review Evidence — MONITORING_GUIDE.md,Review Evidence,Repository artefact at ecss-ml-assurance-workbench/docs/MONITORING_GUIDE.md,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,docs,PENDING_SVERP,Not identified,Review,Document,ecss-ml-assurance-workbench/docs/MONITORING_GUIDE.md,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,ac5cafb681317e2d8842db9c05dc4c9ffcd73e807b3fd620ad7906b5c626d7d6,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/docs/MONITORING_GUIDE.md,P1
EVD-RVW-005,Review Evidence — PACKAGE_VALIDATION.md,Review Evidence,Repository artefact at ecss-ml-assurance-workbench/docs/PACKAGE_VALIDATION.md,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,docs,PENDING_SVERP,Not identified,Review,Document,ecss-ml-assurance-workbench/docs/PACKAGE_VALIDATION.md,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,9795693b95f1938d19eea26ce3513630b4fb624703e7d3d97b8734d00f50d95a,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/docs/PACKAGE_VALIDATION.md,P1
EVD-RES-001,Resource Budget Evidence — PERFORMANCE.md,Resource Budget Evidence,Repository artefact at ecss-ml-assurance-workbench/docs/PERFORMANCE.md,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,docs,PENDING_SVERP,Not identified,Analysis,Software Item,ecss-ml-assurance-workbench/docs/PERFORMANCE.md,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,a5200ba3bd778286a13192dad252145c8b86af89671ebebf0d7466782b77a056,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/docs/PERFORMANCE.md,P1
EVD-RVW-006,Review Evidence — SECURITY_REVIEW.md,Review Evidence,Repository artefact at ecss-ml-assurance-workbench/docs/SECURITY_REVIEW.md,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,docs,PENDING_SVERP,Not identified,Review,Document,ecss-ml-assurance-workbench/docs/SECURITY_REVIEW.md,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,676e89176ac32a902accb8d35c9773c49c1375847384740ee4db9b16e7d2b8b9,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/docs/SECURITY_REVIEW.md,P1
EVD-RVW-007,Review Evidence — WEEK_5_IMPLEMENTATION_REPORT.md,Review Evidence,Repository artefact at ecss-ml-assurance-workbench/docs/WEEK_5_IMPLEMENTATION_REPORT.md,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,docs,PENDING_SVERP,Not identified,Review,Document,ecss-ml-assurance-workbench/docs/WEEK_5_IMPLEMENTATION_REPORT.md,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,2a25c863bb8cbacdd3afa1996c70a56cf6a377b09dac1caf8f70914501fba796,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/docs/WEEK_5_IMPLEMENTATION_REPORT.md,P1
EVD-RVW-008,Review Evidence — WEEK_7_IMPLEMENTATION_REPORT.md,Review Evidence,Repository artefact at ecss-ml-assurance-workbench/docs/WEEK_7_IMPLEMENTATION_REPORT.md,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,docs,PENDING_SVERP,Not identified,Review,Document,ecss-ml-assurance-workbench/docs/WEEK_7_IMPLEMENTATION_REPORT.md,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,118e0656e55775c7f7a8081cebc0a8c35e9eede45b3fe0f2e2946df05e29c372,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/docs/WEEK_7_IMPLEMENTATION_REPORT.md,P1
EVD-RVW-009,Review Evidence — accessibility-review.md,Review Evidence,Repository artefact at ecss-ml-assurance-workbench/docs/accessibility-review.md,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,docs,PENDING_SVERP,Not identified,Review,Document,ecss-ml-assurance-workbench/docs/accessibility-review.md,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,93e7c66b16c845bb53f18420c5fa08be71ae3a2360977ce8758dbf410ad5e8ca,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/docs/accessibility-review.md,P1
EVD-ARCH-002,Architecture Verification Evidence — 0001-normalized-assurance-data-model.md,Architecture Verification Evidence,Repository artefact at ecss-ml-assurance-workbench/docs/adr/0001-normalized-assurance-data-model.md,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,docs,PENDING_SVERP,Not identified,Review,Document,ecss-ml-assurance-workbench/docs/adr/0001-normalized-assurance-data-model.md,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,f657f943d8b3efae15b11fdb30e5c2b99f21907f4379d3cb1dd2fc00feac9b72,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/docs/adr/0001-normalized-assurance-data-model.md,P1
EVD-ARCH-003,Architecture Verification Evidence — 0002-deterministic-gap-rules.md,Architecture Verification Evidence,Repository artefact at ecss-ml-assurance-workbench/docs/adr/0002-deterministic-gap-rules.md,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,docs,PENDING_SVERP,Not identified,Review,Document,ecss-ml-assurance-workbench/docs/adr/0002-deterministic-gap-rules.md,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,fc1d875930acfc085c915a8f581138d9e2f608363c965cc989acc5431d96a107,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/docs/adr/0002-deterministic-gap-rules.md,P1
EVD-ARCH-004,Architecture Verification Evidence — 0003-recommendation-vs-approval.md,Architecture Verification Evidence,Repository artefact at ecss-ml-assurance-workbench/docs/adr/0003-recommendation-vs-approval.md,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,docs,PENDING_SVERP,Not identified,Review,Document,ecss-ml-assurance-workbench/docs/adr/0003-recommendation-vs-approval.md,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,a6bf7f2b418089329673b5c0f0a3fd761e7dddcb6c58c4f904495f27abb03ac8,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/docs/adr/0003-recommendation-vs-approval.md,P1
EVD-ARCH-005,Architecture Verification Evidence — 0004-evidence-package-format.md,Architecture Verification Evidence,Repository artefact at ecss-ml-assurance-workbench/docs/adr/0004-evidence-package-format.md,Supports SVR verification evidence set (candidate; acceptance criteria pending review).,docs,PENDING_SVERP,Not identified,Review,Document,ecss-ml-assurance-workbench/docs/adr/0004-evidence-package-format.md,Not defined,repository main (untracked),Not assigned,Not assigned,Not assessed,Not defined,Available,Pending,b63593b8ed50341d2ec432f5461148bdd7140213c95f251300f7ec0e48c1600f,SVR Section TBD,Not indexed,ecss-ml-assurance-workbench/docs/adr/0004-evidence-package-format.md,P1
